name,colorIdentity,colors,convertedManaCost,edhrecRank,keywords,power,subtypes,text,types
Abomination of Llanowar,"['B', 'G']","['B', 'G']",3.0,2928.0,"['Menace', 'Vigilance']",*,"['Elf', 'Horror']","Vigilance; menace (This creature can't be blocked except by two or more creatures.)
Abomination of Llanowar's power and toughness are each equal to the number of Elves you control plus the number of Elf cards in your graveyard.",['Creature']
Aboroth,['G'],['G'],6.0,19208.0,['Cumulative upkeep'],9,['Elemental'],"Cumulative upkeep—Put a -1/-1 counter on Aboroth. (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)",['Creature']
Aboshan's Desire,['U'],['U'],1.0,11962.0,"['Enchant', 'Threshold']",,['Aura'],"Enchant creature
Enchanted creature has flying.
Threshold — Enchanted creature has shroud as long as seven or more cards are in your graveyard. (It can't be the target of spells or abilities.)",['Enchantment']
"Aboshan, Cephalid Emperor",['U'],['U'],6.0,13843.0,nan,3,"['Cephalid', 'Noble']","Tap an untapped Cephalid you control: Tap target permanent.
{U}{U}{U}: Tap all creatures without flying.",['Creature']
About Face,['R'],['R'],1.0,18265.0,nan,,[],Switch target creature's power and toughness until end of turn.,['Instant']
Absolute Grace,['W'],['W'],2.0,14308.0,nan,,[],All creatures have protection from black.,['Enchantment']
Absolute Law,['W'],['W'],2.0,14574.0,nan,,[],All creatures have protection from red.,['Enchantment']
Absolver Thrull,['W'],['W'],4.0,19020.0,['Haunt'],2,"['Thrull', 'Cleric']","Haunt (When this creature dies, exile it haunting target creature.)
When Absolver Thrull enters the battlefield or the creature it haunts dies, destroy target enchantment.",['Creature']
Abstruse Interference,['U'],[],3.0,13412.0,['Devoid'],,[],"Devoid (This card has no color.)
Counter target spell unless its controller pays {1}. You create a 1/1 colorless Eldrazi Scion creature token. It has ""Sacrifice this creature: Add {C}."" ({C} represents colorless mana.)",['Instant']
Abuna Acolyte,['W'],['W'],2.0,19960.0,nan,1,"['Cat', 'Cleric']","{T}: Prevent the next 1 damage that would be dealt to any target this turn.
{T}: Prevent the next 2 damage that would be dealt to target artifact creature this turn.",['Creature']
Abuna's Chant,['W'],['W'],4.0,18911.0,['Entwine'],,[],"Choose one —
• You gain 5 life.
• Prevent the next 5 damage that would be dealt to target creature this turn.
Entwine {2} (Choose both if you pay the entwine cost.)",['Instant']
Abundance,['G'],['G'],4.0,1262.0,nan,,[],"If you would draw a card, you may instead choose land or nonland and reveal cards from the top of your library until you reveal a card of the chosen kind. Put that card into your hand and put all other cards revealed this way on the bottom of your library in any order.",['Enchantment']
Abundant Maw,['B'],[],8.0,17566.0,['Emerge'],6,"['Eldrazi', 'Leech']","Emerge {6}{B} (You may cast this spell by sacrificing a creature and paying the emerge cost reduced by that creature's mana value.)
When you cast this spell, target opponent loses 3 life and you gain 3 life.",['Creature']
Abyssal Gatekeeper,['B'],['B'],2.0,7424.0,nan,1,['Horror'],"When Abyssal Gatekeeper dies, each player sacrifices a creature.",['Creature']
Abyssal Horror,['B'],['B'],6.0,18318.0,['Flying'],2,['Horror'],"Flying
When Abyssal Horror enters the battlefield, target player discards two cards.",['Creature']
Abyssal Nocturnus,['B'],['B'],3.0,14612.0,nan,2,['Horror'],"Whenever an opponent discards a card, Abyssal Nocturnus gets +2/+2 and gains fear until end of turn. (It can't be blocked except by artifact creatures and/or black creatures.)",['Creature']
Abyssal Persecutor,['B'],['B'],4.0,5179.0,"['Flying', 'Trample']",6,['Demon'],"Flying, trample
You can't win the game and your opponents can't lose the game.",['Creature']
Abzan Advantage,['W'],['W'],2.0,16372.0,['Bolster'],,[],Target player sacrifices an enchantment. Bolster 1. (Choose a creature with the least toughness among creatures you control and put a +1/+1 counter on it.),['Instant']
Abzan Banner,"['B', 'G', 'W']",[],3.0,10530.0,nan,,[],"{T}: Add {W}, {B}, or {G}.
{W}{B}{G}, {T}, Sacrifice Abzan Banner: Draw a card.",['Artifact']
Abzan Battle Priest,['W'],['W'],4.0,2871.0,['Outlast'],3,"['Human', 'Cleric']","Outlast {W} ({W}, {T}: Put a +1/+1 counter on this creature. Outlast only as a sorcery.)
Each creature you control with a +1/+1 counter on it has lifelink.",['Creature']
Abzan Beastmaster,['G'],['G'],3.0,6159.0,nan,2,"['Dog', 'Shaman']","At the beginning of your upkeep, draw a card if you control the creature with the greatest toughness or tied for the greatest toughness.",['Creature']
Abzan Guide,"['B', 'G', 'W']","['B', 'G', 'W']",6.0,22436.0,"['Lifelink', 'Morph']",4,"['Human', 'Warrior']","Lifelink (Damage dealt by this creature also causes you to gain that much life.)
Morph {2}{W}{B}{G} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)",['Creature']
Abzan Kin-Guard,['G'],['G'],4.0,20563.0,nan,3,"['Human', 'Warrior']",Abzan Kin-Guard has lifelink as long as you control a white or black permanent.,['Creature']
Abzan Runemark,['W'],['W'],3.0,14638.0,['Enchant'],,['Aura'],"Enchant creature
Enchanted creature gets +2/+2.
Enchanted creature has vigilance as long as you control a black or green permanent.",['Enchantment']
Abzan Skycaptain,['W'],['W'],4.0,18572.0,"['Bolster', 'Flying']",2,"['Bird', 'Soldier']","Flying
When Abzan Skycaptain dies, bolster 2. (Choose a creature with the least toughness among creatures you control and put two +1/+1 counters on it.)",['Creature']
Academic Probation,['W'],['W'],2.0,17909.0,nan,,['Lesson'],"Choose one —
• Choose a nonland card name. Opponents can't cast spells with the chosen name until your next turn.
• Choose target nonland permanent. Until your next turn, it can't attack or block, and its activated abilities can't be activated.",['Sorcery']
Academy Drake,['U'],['U'],3.0,18532.0,"['Flying', 'Kicker']",2,['Drake'],"Kicker {4} (You may pay an additional {4} as you cast this spell.)
Flying
If Academy Drake was kicked, it enters the battlefield with two +1/+1 counters on it.",['Creature']
Academy Journeymage,['U'],['U'],5.0,15499.0,nan,3,"['Human', 'Wizard']","This spell costs {1} less to cast if you control a Wizard.
When Academy Journeymage enters the battlefield, return target creature an opponent controls to its owner's hand.",['Creature']
Academy Raider,['R'],['R'],3.0,15342.0,['Intimidate'],1,"['Human', 'Warrior']","Intimidate (This creature can't be blocked except by artifact creatures and/or creatures that share a color with it.)
Whenever Academy Raider deals combat damage to a player, you may discard a card. If you do, draw a card.",['Creature']
Academy Rector,['W'],['W'],4.0,3120.0,nan,1,"['Human', 'Cleric']","When Academy Rector dies, you may exile it. If you do, search your library for an enchantment card, put that card onto the battlefield, then shuffle.",['Creature']
Academy Researchers,['U'],['U'],3.0,16953.0,nan,2,"['Human', 'Wizard']","When Academy Researchers enters the battlefield, you may put an Aura card from your hand onto the battlefield attached to Academy Researchers.",['Creature']
Accelerate,['R'],['R'],2.0,4302.0,nan,,[],"Target creature gains haste until end of turn.
Draw a card.",['Instant']
Accelerated Mutation,['G'],['G'],5.0,19186.0,nan,,[],"Target creature gets +X/+X until end of turn, where X is the highest mana value among permanents you control.",['Instant']
Acceptable Losses,['R'],['R'],4.0,23024.0,nan,,[],"As an additional cost to cast this spell, discard a card at random.
Acceptable Losses deals 5 damage to target creature.",['Sorcery']
Acclaimed Contender,['W'],['W'],3.0,5756.0,nan,3,"['Human', 'Knight']","When Acclaimed Contender enters the battlefield, if you control another Knight, look at the top five cards of your library. You may reveal a Knight, Aura, Equipment, or legendary artifact card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.",['Creature']
Accomplished Alchemist,['G'],['G'],4.0,3338.0,nan,2,"['Elf', 'Druid']","{T}: Add one mana of any color.
{T}: Add X mana of any one color, where X is the amount of life you gained this turn.",['Creature']
Accomplished Automaton,[],[],7.0,16025.0,['Fabricate'],5,['Construct'],"Fabricate 1 (When this creature enters the battlefield, put a +1/+1 counter on it or create a 1/1 colorless Servo artifact creature token.)","['Artifact', 'Creature']"
Accorder Paladin,['W'],['W'],2.0,11849.0,['Battle Cry'],3,"['Human', 'Knight']","Battle cry (Whenever this creature attacks, each other attacking creature gets +1/+0 until end of turn.)",['Creature']
Accorder's Shield,[],[],0.0,5556.0,['Equip'],,['Equipment'],"Equipped creature gets +0/+3 and has vigilance. (Attacking doesn't cause it to tap.)
Equip {3} ({3}: Attach to target creature you control. Equip only as a sorcery.)",['Artifact']
Accumulated Knowledge,['U'],['U'],2.0,20532.0,nan,,[],"Draw a card, then draw cards equal to the number of cards named Accumulated Knowledge in all graveyards.",['Instant']
Accursed Centaur,['B'],['B'],1.0,18070.0,nan,2,"['Zombie', 'Centaur']","When Accursed Centaur enters the battlefield, sacrifice a creature.",['Creature']
Accursed Spirit,['B'],['B'],4.0,19375.0,['Intimidate'],3,['Spirit'],Intimidate (This creature can't be blocked except by artifact creatures and/or creatures that share a color with it.),['Creature']
Accursed Witch // Infectious Curse,['B'],['B'],4.0,6000.0,['Enchant'],,"['Aura', 'Curse']","Enchant player
Spells you cast that target enchanted player cost {1} less to cast.
At the beginning of enchanted player's upkeep, that player loses 1 life and you gain 1 life.",['Enchantment']
Acererak the Archlich,['B'],['B'],3.0,2806.0,['Venture into the dungeon'],5,"['Zombie', 'Wizard']","When Acererak the Archlich enters the battlefield, if you haven't completed Tomb of Annihilation, return Acererak the Archlich to its owner's hand and venture into the dungeon.
Whenever Acererak the Archlich attacks, for each opponent, you create a 2/2 black Zombie creature token unless that player sacrifices a creature.",['Creature']
Acid Web Spider,['G'],['G'],5.0,12796.0,['Reach'],3,['Spider'],"Reach
When Acid Web Spider enters the battlefield, you may destroy target Equipment.",['Creature']
Acid-Spewer Dragon,['B'],['B'],6.0,14605.0,"['Deathtouch', 'Flying', 'Megamorph']",3,['Dragon'],"Flying, deathtouch
Megamorph {5}{B}{B} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its megamorph cost and put a +1/+1 counter on it.)
When Acid-Spewer Dragon is turned face up, put a +1/+1 counter on each other Dragon creature you control.",['Creature']
Acidic Dagger,[],[],4.0,22730.0,nan,,[],"{4}, {T}: Whenever target creature deals combat damage to a non-Wall creature this turn, destroy that non-Wall creature. When the targeted creature leaves the battlefield this turn, sacrifice Acidic Dagger. Activate only before blockers are declared.",['Artifact']
Acidic Sliver,"['B', 'R']","['B', 'R']",2.0,11313.0,nan,2,['Sliver'],"All Slivers have ""{2}, Sacrifice this permanent: This permanent deals 2 damage to any target.""",['Creature']
Acolyte of Affliction,"['B', 'G']","['B', 'G']",4.0,6196.0,['Mill'],2,"['Human', 'Cleric']","When Acolyte of Affliction enters the battlefield, mill two cards, then you may return a permanent card from your graveyard to your hand.",['Creature']
Acolyte of Xathrid,['B'],['B'],1.0,18391.0,nan,0,"['Human', 'Cleric']","{1}{B}, {T}: Target player loses 1 life.",['Creature']
Acolyte of the Inferno,['R'],['R'],3.0,20737.0,['Renown'],3,"['Human', 'Monk']","Renown 1 (When this creature deals combat damage to a player, if it isn't renowned, put a +1/+1 counter on it and it becomes renowned.)
Whenever Acolyte of the Inferno becomes blocked by a creature, it deals 2 damage to that creature.",['Creature']
Acolyte's Reward,['W'],['W'],2.0,15689.0,nan,,[],"Prevent the next X damage that would be dealt to target creature this turn, where X is your devotion to white. If damage is prevented this way, Acolyte's Reward deals that much damage to any target. (Each {W} in the mana costs of permanents you control counts toward your devotion to white.)",['Instant']
Acorn Catapult,[],[],4.0,8403.0,nan,,[],"{1}, {T}: Acorn Catapult deals 1 damage to any target. That permanent's controller or that player creates a 1/1 green Squirrel creature token.",['Artifact']
Acorn Harvest,['G'],['G'],4.0,6297.0,['Flashback'],,[],"Create two 1/1 green Squirrel creature tokens.
Flashback—{1}{G}, Pay 3 life. (You may cast this card from your graveyard for its flashback cost. Then exile it.)",['Sorcery']
Acquire,['U'],['U'],5.0,6011.0,nan,,[],Search target opponent's library for an artifact card and put that card onto the battlefield under your control. Then that player shuffles.,['Sorcery']
Acridian,['G'],['G'],2.0,19801.0,['Echo'],2,['Insect'],"Echo {1}{G} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)",['Creature']
Act of Authority,['W'],['W'],3.0,6508.0,nan,,[],"When Act of Authority enters the battlefield, you may exile target artifact or enchantment.
At the beginning of your upkeep, you may exile target artifact or enchantment. If you do, its controller gains control of Act of Authority.",['Enchantment']
Act of Heroism,['W'],['W'],2.0,13787.0,nan,,[],Untap target creature. It gets +2/+2 until end of turn and can block an additional creature this turn.,['Instant']
Act of Treason,['R'],['R'],3.0,3769.0,nan,,[],Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn. (It can attack and {T} this turn.),['Sorcery']
Active Volcano,['R'],['R'],1.0,14692.0,nan,,[],"Choose one —
• Destroy target blue permanent.
• Return target Island to its owner's hand.",['Instant']
"Adamaro, First to Desire",['R'],['R'],3.0,13892.0,nan,*,['Spirit'],"Adamaro, First to Desire's power and toughness are each equal to the number of cards in the hand of the opponent with the most cards in hand.",['Creature']
Adaptive Shimmerer,[],[],5.0,17870.0,['Flash'],0,['Insect'],"Flash
Adaptive Shimmerer enters the battlefield with three +1/+1 counters on it.",['Creature']
Adaptive Snapjaw,['G'],['G'],5.0,17993.0,['Evolve'],6,"['Lizard', 'Beast']","Evolve (Whenever a creature enters the battlefield under your control, if that creature has greater power or toughness than this creature, put a +1/+1 counter on this creature.)",['Creature']
Adarkar Sentinel,[],[],5.0,23473.0,nan,3,['Soldier'],{1}: Adarkar Sentinel gets +0/+1 until end of turn.,"['Artifact', 'Creature']"
Adarkar Valkyrie,['W'],['W'],6.0,4345.0,"['Flying', 'Vigilance']",4,['Angel'],"Flying, vigilance
{T}: When target creature other than Adarkar Valkyrie dies this turn, return that card to the battlefield under your control.",['Creature']
Adarkar Wastes,"['U', 'W']",[],0.0,694.0,nan,,[],"{T}: Add {C}.
{T}: Add {W} or {U}. Adarkar Wastes deals 1 damage to you.",['Land']
Adder-Staff Boggart,['R'],['R'],2.0,20452.0,['Clash'],2,"['Goblin', 'Warrior']","When Adder-Staff Boggart enters the battlefield, clash with an opponent. If you win, put a +1/+1 counter on Adder-Staff Boggart. (Each clashing player reveals the top card of their library, then puts that card on the top or bottom. A player wins if their card had a higher mana value.)",['Creature']
Addle,['B'],['B'],2.0,18361.0,nan,,[],Choose a color. Target player reveals their hand and you choose a card of that color from it. That player discards that card.,['Sorcery']
"Adeliz, the Cinder Wind","['R', 'U']","['R', 'U']",3.0,6324.0,"['Flying', 'Haste']",2,"['Human', 'Wizard']","Flying, haste
Whenever you cast an instant or sorcery spell, Wizards you control get +1/+1 until end of turn.",['Creature']
Adherent of Hope,['W'],['W'],2.0,22612.0,nan,2,"['Human', 'Soldier']","At the beginning of combat on your turn, if you control a Basri planeswalker, put a +1/+1 counter on Adherent of Hope.",['Creature']
Advanced Hoverguard,['U'],['U'],4.0,22524.0,['Flying'],2,['Drone'],"Flying
{U}: Advanced Hoverguard gains shroud until end of turn. (It can't be the target of spells or abilities.)",['Creature']
Advanced Stitchwing,['U'],['U'],5.0,15069.0,['Flying'],3,"['Zombie', 'Horror']","Flying
{2}{U}, Discard two cards: Return Advanced Stitchwing from your graveyard to the battlefield tapped.",['Creature']
Advent of the Wurm,"['G', 'W']","['G', 'W']",4.0,8014.0,nan,,[],Create a 5/5 green Wurm creature token with trample.,['Instant']
Adventurous Impulse,['G'],['G'],1.0,4931.0,nan,,[],Look at the top three cards of your library. You may reveal a creature or land card from among them and put it into your hand. Put the rest on the bottom of your library in any order.,['Sorcery']
Adverse Conditions,['U'],[],4.0,14988.0,['Devoid'],,[],"Devoid (This card has no color.)
Tap up to two target creatures. Those creatures don't untap during their controller's next untap step. Create a 1/1 colorless Eldrazi Scion creature token. It has ""Sacrifice this creature: Add {C}.""",['Instant']
Advice from the Fae,['U'],['U'],6.0,15325.0,nan,,[],"({2/U} can be paid with any two mana or with {U}. This card's mana value is 6.)
Look at the top five cards of your library. If you control more creatures than each other player, put two of those cards into your hand. Otherwise, put one of them into your hand. Then put the rest on the bottom of your library in any order.",['Sorcery']
Advocate of the Beast,['G'],['G'],3.0,17737.0,nan,2,"['Elf', 'Shaman']","At the beginning of your end step, put a +1/+1 counter on target Beast creature you control.",['Creature']
Aegis Automaton,['W'],[],2.0,17419.0,nan,0,['Construct'],{4}{W}: Return another target creature you control to its owner's hand.,"['Artifact', 'Creature']"
Aegis Turtle,['U'],['U'],1.0,9475.0,nan,0,['Turtle'],,['Creature']
Aegis of Honor,['W'],['W'],1.0,16037.0,nan,,[],"{1}: The next time an instant or sorcery spell would deal damage to you this turn, that spell deals that damage to its controller instead.",['Enchantment']
Aegis of the Gods,['W'],['W'],2.0,3913.0,nan,2,"['Human', 'Soldier']",You have hexproof. (You can't be the target of spells or abilities your opponents control.),"['Enchantment', 'Creature']"
Aeolipile,[],[],2.0,20909.0,nan,,[],"{1}, {T}, Sacrifice Aeolipile: It deals 2 damage to any target.",['Artifact']
Aeon Engine,[],[],5.0,10905.0,nan,,[],"Aeon Engine enters the battlefield tapped.
{T}, Exile Aeon Engine: Reverse the game's turn order. (For example, if play had proceeded clockwise around the table, it now goes counterclockwise.)",['Artifact']
Aerial Caravan,['U'],['U'],6.0,22525.0,['Flying'],4,"['Human', 'Soldier']","Flying
{1}{U}{U}: Exile the top card of your library. Until end of turn, you may play that card. (Reveal the card as you exile it.)",['Creature']
Aerial Engineer,"['U', 'W']","['U', 'W']",4.0,22081.0,nan,2,"['Human', 'Artificer']","As long as you control an artifact, Aerial Engineer gets +2/+0 and has flying.",['Creature']
Aerial Formation,['U'],['U'],1.0,16767.0,['Strive'],,[],"Strive — This spell costs {2}{U} more to cast for each target beyond the first.
Any number of target creatures each get +1/+1 and gain flying until end of turn.",['Instant']
Aerial Maneuver,['W'],['W'],2.0,17428.0,nan,,[],Target creature gets +1/+1 and gains flying and first strike until end of turn.,['Instant']
Aerial Modification,['W'],['W'],5.0,11214.0,['Enchant'],,['Aura'],"Enchant creature or Vehicle
As long as enchanted permanent is a Vehicle, it's a creature in addition to its other types.
Enchanted creature gets +2/+2 and has flying.",['Enchantment']
Aerial Predation,['G'],['G'],3.0,15526.0,nan,,[],Destroy target creature with flying. You gain 2 life.,['Instant']
Aerial Volley,['G'],['G'],1.0,20175.0,nan,,[],"Aerial Volley deals 3 damage divided as you choose among one, two, or three target creatures with flying.",['Instant']
Aerie Bowmasters,['G'],['G'],4.0,18362.0,"['Megamorph', 'Reach']",3,"['Dog', 'Archer']","Reach (This creature can block creatures with flying.)
Megamorph {5}{G} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its megamorph cost and put a +1/+1 counter on it.)",['Creature']
Aerie Mystics,"['G', 'U', 'W']",['W'],5.0,14398.0,['Flying'],3,"['Bird', 'Wizard']","Flying
{1}{G}{U}: Creatures you control gain shroud until end of turn. (They can't be the targets of spells or abilities.)",['Creature']
Aerie Ouphes,['G'],['G'],5.0,11354.0,['Persist'],3,['Ouphe'],"Sacrifice Aerie Ouphes: It deals damage equal to its power to target creature with flying.
Persist (When this creature dies, if it had no -1/-1 counters on it, return it to the battlefield under its owner's control with a -1/-1 counter on it.)",['Creature']
Aerie Worshippers,['U'],['U'],4.0,18338.0,['Inspired'],2,"['Human', 'Cleric']","Inspired — Whenever Aerie Worshippers becomes untapped, you may pay {2}{U}. If you do, create a 2/2 blue Bird enchantment creature token with flying.",['Creature']
Aeromunculus,"['G', 'U']","['G', 'U']",3.0,18339.0,"['Adapt', 'Flying']",2,"['Homunculus', 'Mutant']","Flying
{2}{G}{U}: Adapt 1. (If this creature has no +1/+1 counters on it, put a +1/+1 counter on it.)",['Creature']
Aeronaut Admiral,['W'],['W'],4.0,4486.0,['Flying'],3,"['Human', 'Pilot']","Flying
Vehicles you control have flying.",['Creature']
Aether Adept,['U'],['U'],3.0,6385.0,nan,2,"['Human', 'Wizard']","When Aether Adept enters the battlefield, return target creature to its owner's hand.",['Creature']
Aether Burst,['U'],['U'],2.0,23237.0,nan,,[],"Return up to X target creatures to their owners' hands, where X is one plus the number of cards named Aether Burst in all graveyards as you cast this spell.",['Instant']
Aether Charge,['R'],['R'],5.0,17809.0,nan,,[],"Whenever a Beast enters the battlefield under your control, you may have it deal 4 damage to target opponent or planeswalker.",['Enchantment']
Aether Chaser,['R'],['R'],2.0,16043.0,['First strike'],2,"['Human', 'Artificer']","First strike
When Aether Chaser enters the battlefield, you get {E}{E} (two energy counters).
Whenever Aether Chaser attacks, you may pay {E}{E}. If you do, create a 1/1 colorless Servo artifact creature token.",['Creature']
Aether Figment,['U'],['U'],2.0,12078.0,['Kicker'],1,['Illusion'],"Kicker {3} (You may pay an additional {3} as you cast this spell.)
Aether Figment can't be blocked.
If Aether Figment was kicked, it enters the battlefield with two +1/+1 counters on it.",['Creature']
Aether Gale,['U'],['U'],5.0,2030.0,nan,,[],Return six target nonland permanents to their owners' hands.,['Sorcery']
Aether Gust,['U'],['U'],2.0,13523.0,nan,,[],Choose target spell or permanent that's red or green. Its owner puts it on the top or bottom of their library.,['Instant']
Aether Herder,['G'],['G'],4.0,17455.0,nan,3,"['Elf', 'Artificer', 'Druid']","When Aether Herder enters the battlefield, you get {E}{E} (two energy counters).
Whenever Aether Herder attacks, you may pay {E}{E}. If you do, create a 1/1 colorless Servo artifact creature token.",['Creature']
Aether Hub,[],[],0.0,5502.0,nan,,[],"When Aether Hub enters the battlefield, you get {E} (an energy counter).
{T}: Add {C}.
{T}, Pay {E}: Add one mana of any color.",['Land']
Aether Inspector,['W'],['W'],4.0,17401.0,['Vigilance'],2,"['Dwarf', 'Artificer']","Vigilance
When Aether Inspector enters the battlefield, you get {E}{E} (two energy counters).
Whenever Aether Inspector attacks, you may pay {E}{E}. If you do, create a 1/1 colorless Servo artifact creature token.",['Creature']
Aether Meltdown,['U'],['U'],2.0,16547.0,"['Enchant', 'Flash']",,['Aura'],"Flash (You may cast this spell any time you could cast an instant.)
Enchant creature or Vehicle
When Aether Meltdown enters the battlefield, you get {E}{E} (two energy counters).
Enchanted creature gets -4/-0.",['Enchantment']
Aether Membrane,['R'],['R'],3.0,9937.0,"['Defender', 'Reach']",0,['Wall'],"Defender; reach (This creature can block creatures with flying.)
Whenever Aether Membrane blocks a creature, return that creature to its owner's hand at end of combat.",['Creature']
Aether Mutation,"['G', 'U']","['G', 'U']",5.0,11494.0,nan,,[],"Return target creature to its owner's hand. Create X 1/1 green Saproling creature tokens, where X is that creature's mana value.",['Sorcery']
Aether Poisoner,['B'],['B'],2.0,14074.0,['Deathtouch'],1,"['Human', 'Artificer']","Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)
When Aether Poisoner enters the battlefield, you get {E}{E} (two energy counters).
Whenever Aether Poisoner attacks, you may pay {E}{E}. If you do, create a 1/1 colorless Servo artifact creature token.",['Creature']
Aether Rift,"['G', 'R']","['G', 'R']",3.0,17935.0,nan,,[],"At the beginning of your upkeep, discard a card at random. If you discard a creature card this way, return it from your graveyard to the battlefield unless any player pays 5 life.",['Enchantment']
Aether Snap,['B'],['B'],5.0,9589.0,nan,,[],Remove all counters from all permanents and exile all tokens.,['Sorcery']
Aether Sting,['R'],['R'],4.0,10261.0,nan,,[],"Whenever an opponent casts a creature spell, Aether Sting deals 1 damage to that player.",['Enchantment']
Aether Swooper,['U'],['U'],2.0,13983.0,['Flying'],1,"['Vedalken', 'Artificer']","Flying
When Aether Swooper enters the battlefield, you get {E}{E} (two energy counters).
Whenever Aether Swooper attacks, you may pay {E}{E}. If you do, create a 1/1 colorless Servo artifact creature token.",['Creature']
Aether Theorist,['U'],['U'],2.0,12760.0,['Scry'],1,"['Vedalken', 'Rogue']","When Aether Theorist enters the battlefield, you get {E}{E}{E} (three energy counters).
{T}, Pay {E}: Scry 1. (Look at the top card of your library. You may put that card on the bottom of your library.)",['Creature']
Aether Tide,['U'],['U'],1.0,21589.0,nan,,[],"As an additional cost to cast this spell, discard X creature cards.
Return X target creatures to their owners' hands.",['Sorcery']
Aether Tunnel,['U'],['U'],2.0,5407.0,['Enchant'],,['Aura'],"Enchant creature
Enchanted creature gets +1/+0 and can't be blocked.",['Enchantment']
Aether Vial,[],[],1.0,4901.0,nan,,[],"At the beginning of your upkeep, you may put a charge counter on Aether Vial.
{T}: You may put a creature card with mana value equal to the number of charge counters on Aether Vial from your hand onto the battlefield.",['Artifact']
Aether Web,['G'],['G'],2.0,15500.0,"['Enchant', 'Flash']",,['Aura'],"Flash (You may cast this spell any time you could cast an instant.)
Enchant creature
Enchanted creature gets +1/+1, has reach, and can block creatures with shadow as though they didn't have shadow. (Creatures with reach can block creatures with flying.)",['Enchantment']
Aetherborn Marauder,['B'],['B'],4.0,13555.0,"['Flying', 'Lifelink']",2,"['Aetherborn', 'Rogue']","Flying, lifelink
When Aetherborn Marauder enters the battlefield, move any number of +1/+1 counters from other permanents you control onto Aetherborn Marauder.",['Creature']
Aetherflame Wall,['R'],['R'],2.0,18404.0,['Defender'],0,['Wall'],"Defender
Aetherflame Wall can block creatures with shadow as though they didn't have shadow.
{R}: Aetherflame Wall gets +1/+0 until end of turn.",['Creature']
Aetherflux Reservoir,[],[],4.0,213.0,nan,,[],"Whenever you cast a spell, you gain 1 life for each spell you've cast this turn.
Pay 50 life: Aetherflux Reservoir deals 50 damage to any target.",['Artifact']
